2bwm 0.2-2
libiptcdata 1.0.4-3
libixion 0.11.1-2
libjpeg-turbo 1.5.1-1
libjpeg6-turbo 1.5.1-1
libkactivities4 4.13.3-3
libkate 0.4.1-5
libkeybinder2 0.3.1-1
libksba 1.3.4-2
liblangtag 0.5.8-2
libldap 2.4.44-2
liblouis 3.0.0-1
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmad 0.15.1b-7
libmariadbclient 10.1.18-1
libmatroska 1.4.5-1
libmbim 1.14.0-1
libmediaart 1.9.0-1
libmediainfo 0.7.89-1
libmicrohttpd 0.9.50-1
libmikmod 3.3.9-1
libmm-glib 1.6.2-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpdclient 2.10-1
libmpeg2 0.5.1-5
libmspack 0.5alpha-1
libmspub 0.1.2-5
libmtp 1.1.12-1
libmusicbrainz5 5.1.0-2
libmwaw 0.3.8-1
libnatpmp 20140401-2
libnautilus-extension 3.20.3-1
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.19-1
libnfnetlink 1.0.1-2
libnfs 1.10.0-1
libnftnl 1.0.6-1
libnice 0.1.13-1
libnih 1.0.3-2
libnl 3.2.28-1
libnm-glib 1.4.2-1
libnotify 0.7.6-2
liboauth 1.0.3+9+g11e9461-1
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libopenshot 0.1.2-1
libopenshot-audio 0.1.2-1
liborcus 0.11.2-2
libosinfo 0.3.1-1
libpagemaker 0.0.3-1
libpaper 1.1.24-9
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpeas 1.18.0-2
libpgm 5.2.122-2
libphonenumber 7.7.0-1
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.25-1
libpng12 1.2.56-4
libproxy 0.4.12-2
libpulse 9.0-1
libpurple 2.11.0-1
libpwquality 1.3.0-1
libqalculate 0.9.10-1
libqmi 1.16.0-1
libqtelegram-ae 3:6.1-2
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libqzeitgeist 0.8.0-6
libraw 0.17.2-1
libraw1394 2.1.2-1
libreoffice-fresh 5.2.2-1
librevault 0.1.18.10-1
librevenge 0.0.4-1
librsvg 2:2.40.16-1
librtmp0 2.4-1
libsamplerate 0.1.8-3
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsidplay 1.36.59-8
libsigc++ 2.8.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.54.1-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libspnav 0.2.3-1
libspotify 12.1.51-3
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libstemmer 0+337-2
libsynctex 2016.41290-6
libsystemd 231-3
libtar 1.2.20-2
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiff4 3.9.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-6
libtorrent 0.13.6-2
libtorrent-rasterbar 1:1.1.1-1
libtracker-sparql 1.8.0-3
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunicodenames 1.2.0-1
libunique 1.1.6-6
libunistring 0.9.6-2
libunity 7.1.4.14.10.20140808-3
libunwind 1.1-3
libupnp 1.6.20-1
liburcu 0.9.2-1
libusb 1.0.20-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-1
libuv 1.9.1-1
libva 1.7.2-1
libvdpau 1.1.1-2
libvirt 2.2.0-1
libvirt-glib 0.2.3-1
libvirt-python 2.2.0-1
libvisio 0.1.5-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libvpx1.3 1.3.0-1
libwacom 0.22-1
libwbclient 4.5.0-2
libwebp 0.5.1-1
libwm-git 1.0.r4.g208dfb8-1
libwmf 0.2.8.4-13
libwnck 2.31.0-1
libwnck3 3.20.1-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.3-1
libwrap 7.6.24-3
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomp 3.5.0.32-2
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.7-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxkbui 1.0.2-5
libxklavier 5.4-1
libxml2 2.9.4+4+g3169602-1
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzen 0.4.33-1
libzip 1.1.3-1
licenses 20140629-1
lightdm 1:1.18.3-1
lightdm-webkit-theme-bevel-git 0.1-1
lightdm-webkit-theme-material-git r76.cdc6d58-1
linux 4.7.6-1
linux-api-headers 4.7-1
linux-firmware 20160915.c4c07a8-1
linux-headers 4.7.6-1
lirc 1:0.9.4.b-1
live-media 2016.08.07-1
lldb 3.8.1-1
llvm 3.8.1-1
llvm-libs 3.8.1-1
llvm35-libs 3.5.2-3
lm_sensors 3.4.0-1
lmdb 0.9.18-1
logrotate 3.10.0-1
love08 0.8.0-2
lpsolve 5.5.2.3-1
lrzip 0.630-1
lsb-release 1.4-14
lshw B.02.18-1
lsof 4.89-1
lsyncd 2.1.6-1
lttng-ust 2.8.1-1
lua 5.3.3-1
lua51 5.1.5-5
lua52 5.2.4-1
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
luajit 2.0.4-2
lutris 0.3.8-1
lvm2 2.02.166-1
lxappearance 0.6.2-1
lxappearance-obconf 0.2.3-1
lxc 1:2.0.4-2
lxmenu-data 0.1.5-1
lxpanel 0.8.2-1
lz4 131-2
lzo 2.09-1
lzop 1.03-5
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.07-1
mari0 1.6-2
mariadb 10.1.18-1
mariadb-clients 10.1.18-1
mathjax 2.6.1-1
mbedtls 2.3.0-2
mc 4.8.17-2
mdadm 3.4-1
media-player-info 22-2
mediainfo 0.7.89-1
megasync 2.9.8.0-2
meh-git 0.3.27.g426bd3d-1
mencoder 37857-1
menu-cache 1.0.1-2
mercurial 3.9.1-1
mesa 12.0.3-2
mesa-demos 8.3.0-2
mesa-libgl 12.0.3-2
messengerfordesktop 1.5.0_beta.1-1
metasploit 4.12.29-1
mime-types 9-1
minecraft latest-24
minecraft-ipv6 1.0.0-1
minitube 2.5.2-2
miniupnpc 2.0-1
minizip 1:1.2.8-1
mjpegtools 2.1.0-3
mkinitcpio 21-1
mkinitcpio-busybox 1.24.2-1
mlocate 0.26-5
mlt 6.2.0-1
mlt-python-bindings 6.2.0-1
mobile-broadband-provider-info 20151214-1
mod_dnssd 0.6-6
modemmanager 1.6.2-1
modemmanager-qt 5.26.0-1
mono 4.6.1.3-1
mono-addins 1.1-1
mousetweaks 3.12.0-2
mozilla-common 1.4-4
mpc 0.28-1
mpd-light 0.19.19-1
mpfr 3.1.5-1
mpg123 1.23.6-1
mplayer 37857-1
mpv 1:0.20.0-1
mtdev 1.1.5-1
mtools 4.0.18-3
mtr 0.87-1
multisystem 1.0357-1
multitail 6.4.2-1
mumble 1.2.17-1
musicbrainz 2.1.5-7
mutagen 1.34.1-1
mutter-catalyst 3.20.3-1
n1-git 0.4.32.r587.g179d3fd-1
namcap 3.2.7-1
nano 2.7.0-1
nautilus 3.20.3-1
nautilus-megasync 2.9.2-3
nautilus-sendto 3.8.4-2
nbwmon-git r155.f159b35-1
ncdu 1.12-1
ncmpcpp 0.7.5-2
ncurses 6.0-4
ncurses5-compat-libs 6.0-4
neofetch-git 1.7.r243.g5480a7c-1
neomutt 20160827-1
neon 0.30.1-2
net-tools 1.60.20160710git-1
netcdf 4.4.1rc1-1
netcf 0.2.8-3
netctl 1.12-2
nethack 3.6.0-1
nettle 3.3-1
network-manager-applet 1.4.2-1
networkmanager 1.4.2-1
networkmanager-qt 5.26.0-1
nfs-utils 1.3.4-1
nfsidmap 0.26-1
nginx 1.10.1-1
ngrep 1.45-11
nilfs-utils 2.2.4-1
ninja 1.7.1-1
nm-connection-editor 1.4.2-1
nmap 7.30-1
nodejs 6.7.0-1
nodejs-grunt-cli 1.2.0-1
notify-sharp 0.4.1-2
notify-sharp-3 3.0.3-2
notmuch-runtime 0.22.2-1
noto-fonts 20160613-1
novnc 1:0.5.1-2
npm 3.10.8-1
npth 1.2-1
nspr 4.12-1
nss 3.26-1
ntfs-3g 2016.2.22-1
numactl 2.0.11-1
numix-icon-theme-git 0.r1837.72c00cb-1
numix-themes 2.6.4-1
numix-themes-archblue-git 2.6.1.r6.b0aaf84-1
nvidia-cg-toolkit 3.1-4
nw-gyp 0.12.2-1
nx-x11 3.5.0.32-2
nx-xcompext 3.5.0.32-2
nxagent 3.5.0.32-2
nxproxy 3.5.0.32-2
obconf 2.0.4-4
obkey 1.0-4
obs-studio 0.16.2-1
ocaml 4.02.3-2
ocaml-findlib 1.6.2-2
octopi 0.8.1-4
octopi-cachecleaner 0.8.1-4
octopi-notifier 0.8.1-4
octopi-repoeditor 0.8.1-4
okular-git 20140311-1
oomox-git 0.21.0.14.g8347bd5-1
open-iscsi 2.0.874-1
open-vm-tools 6:10.0.7-5
openal 1.17.2-2
openblas-lapack 0.2.19-1
openbox 3.6.1-3
opencascade 6.9.1-7
opencl-catalyst 15.12-1
opencl-headers 2:2.1.20151224-1
opencl-nvidia 370.28-1
opencolorio 1.0.9-4
opencore-amr 0.1.3-2
opencv 3.1.0-3
openexr 2.2.0-3
openfx-misc 2.1.2-1
openimageio 1.6.14-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openmpi 1.10.4-1
openrazer-drivers-dkms 1.0-1
openresolv 3.8.1-1
openshot 2.1.0-3
openslp 2.0.0-1
openssh 7.3p1-2
openssl 1.0.2.j-1
ophcrack 3.6.1-1
opus 1.1.3-2
orc 0.4.26-1
oxygen-icons 1:5.26.0-1
p11-kit 0.23.2-1
p7zip 16.02-2
pacaur 4.6.6-1
package-query-git 1.8.r97.g7c64833-1
packagekit 1.1.4-1
packer-git 315.683c8ee-1
pacman 5.0.1-4
pacman-mirrorlist 20161005-1
pacmatic 20150126-1
pam 1.3.0-1
pambase 20130928-1
pandoc 1.17.2-13
pango 1.40.3-1
pangomm 2.40.1-1
pangox-compat 0.0.2-2
pantheon-session-bzr r78-1
paper-gtk-theme-git 299.cecb923-1
paper-icon-theme-git 610.64b91da-1
parcellite 1.1.9-1
partclone 0.2.89-1
parted 3.2-4
partimage 0.6.9-9
pastebinit 1.5-1
patch 2.7.5-1
pavucontrol 3.0-4
pbzip2 1.1.13-1
pciutils 3.5.1-1
pcmanfm 1.2.4-2
pcmciautils 018-7
pcre 8.39-1
pcre2 10.22-1
pcsx2-git 1.5.0.r1205.411a25b-1
perl 5.24.0-2
perl-capture-tiny 0.36-1
perl-config-simple 4.59-6
perl-dbd-sqlite 1.50-2
perl-dbi 1.636-2
perl-devel-symdump 2.15-1
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-listing 6.04-2
perl-file-next 1.12-1
perl-file-readbackwards 1.05-1
perl-file-which 1.21-1
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-inc-latest 0.500-1
perl-io-html 1.001-1
perl-io-string 1.08-9
perl-io-stringy 2.111-1
perl-ipc-system-simple 1.25-1
perl-libintl-perl 1.26-1
perl-libwww 6.15-1
perl-locale-gettext 1.07-2
perl-lwp-mediatypes 6.02-2
perl-module-build 0.4220-1
perl-net-http 6.09-1
perl-parse-yapp 1.05-6
perl-pod-coverage 0.23-1
perl-sgmls 1:1.1-1
perl-string-shellquote 1.04-3
perl-sys-virt 1.2.14-3
perl-test-pod 1.51-1
perl-test-pod-coverage 1.10-1
perl-timedate 2.30-2
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-libxml 2.0128-1
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-4
perl-xml-xpath 1.34-1
phonon-qt4 4.9.0-1
phonon-qt4-gstreamer 4.9.0-1
phonon-qt5 4.9.0-1
phonon-qt5-gstreamer 4.9.0-1
php 7.0.11-1
php-intl 7.0.11-1
physfs 2.0.3-2
pidgin 2.11.0-1
pidgin-opensteamworks 1.6.1-2
pidgin-pushbullet-git r33.38040a1-2
pigz 2.3.4-1
pinentry 0.9.7-3
pixman 0.34.0-1
pixz 1.0.6-1
pkg-config 0.29.1-2
pkgbuild-introspection 8-1
pkgfile 15-1
plank 0.11.2-1
plasma-framework 5.26.0-1
playonlinux 4.2.10-1
pm2ml 2016.5-1
png++ 0.2.9-1
po4a 0.48-1
polkit 0.113-4
polkit-gnome 0.105-3
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
popcorntime-git r5925.1e2f946-1
poppler 0.47.0-1
poppler-glib 0.47.0-1
poppler-qt4 0.47.0-1
poppler-qt5 0.47.0-1
popt 1.16-8
portage-git 14492.55aef9b-1
portaudio 19_20140130-3
postgresql-libs 9.5.4-1
powerpill 2016.5-1
powershell-git 6.0.0.alpha.9.159.g10ce178-1
ppp 2.4.7-2
ppsspp 1.3-1
prelink 20130503-7
preload 0.6.4-6
printproto 1.0.5-3
prison 5.25.0.git20160814-1
procps-ng 3.3.12-1
progsreiserfs 0.3.0.5-8
projectm 2.1.0-15
proot 5.1.0-3
protobuf-c 1.2.1-2
protobuf3 3.0.0-2
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
purple-facebook 27-1
purple-hangouts-hg r286.1c0286e48e92-1
purple-skypeweb 1.2.1-1
purple-whatsapp-git 0.8.3.73.g07ed931-1
putty 0.67-1
pv 1.6.0-2
pwgen 2.07-1
pyalpm 0.8-1
pygobject-devel 3.20.1-1
pygobject2-devel 2.28.6-12
pygoocanvas 0.14.1-7
pygtk 2.24.0-6
pypam2-bzr 17-1
pyqt4-common 4.11.4-4
pyqt5-common 5.7-2
pyside-tools-common 0.2.15-3
python 3.5.2-1
python-aiohttp 0.22.3-2
python-appdirs 1.4.0-4
python-atspi 2.20.2-1
python-autobgch 0.3.1-1
python-beaker 1.8.0-1
python-beautifulsoup4 4.5.1-1
python-cairo 1.10.0-6
python-cffi 1.8.3-1
python-chardet 2.3.0-2
python-click 6.6-1
python-configargparse 0.11.0-1
python-cryptography 1.5.2-1
python-cycler 0.10.0-1
python-dateutil 2.5.3-1
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-decorator 4.0.10-1
python-distutils-extra 2.39-1
python-docopt 0.6.2-3
python-docutils 0.12-3
python-future 0.15.2-2
python-gobject 3.20.1-1
python-httplib2 0.9.2-1
python-hurry-filesize 0.9-3
python-idna 2.1-1
python-jinja 2.8-2
python-jsonschema 2.5.1-3
python-magic 5.25-3
python-mako 1.0.4-1
python-markupsafe 0.23-3
python-matplotlib 1.5.2-2
python-multidict 1.2.0-1
python-networkx 1.11-1
python-nose 1.3.7-2
python-numpy 1.11.1-1
python-oauthlib 2.0.0-1
python-packaging 16.7-1
python-pillow 3.4.1-1
python-pip 8.1.2-1
python-ply 3.9-1
python-praw-git 3.5.0.r1410.gde6dfbd-1
python-progressbar 2.3-6
python-psutil 4.3.1-1
python-purplex 0.2.4-3
python-pyasn1 0.1.9-1
python-pycparser 2.14-2
python-pyelftools 0.24-1
python-pygments 2.1.3-1
python-pyparsing 2.1.9-1
python-pyparted 3.10.7-1
python-pypeg2 2.15.1-3
python-pyqt4 4.11.4-4
python-pyqt5 5.7-2
python-pyside-common 1.2.4-3
python-pytz 2016.6.1-1
python-pyzmq 15.2.0-1
python-readlike 0.1.1-2
python-reparser 1.4.3-1
python-requests 2.11.1-1
python-requests-oauthlib 0.7.0-1
python-requests-toolbelt 0.7.0-1
python-robobrowser 0.5.3-1
python-scikit-image 0.12.3-1
python-scipy 0.18.1-1
python-setuptools 1:28.1.0-1
python-simplejson 3.8.2-1
python-sip 4.18.1-1
python-six 1.10.0-2
python-themer-git v1.6.r0.gfc24e5b-1
python-tornado 4.4.2-1
python-tweepy 3.5.0-1
python-update_checker-git 0.12.r25.g60a94a1-1
python-urllib3 1.18-1
python-urwid 1.3.1-2
python-werkzeug 0.11.10-1
python-xdg 0.25-3
python-xlib 0.17-1
python-yaml 3.12-1
python2 2.7.12-1
python2-androguard-git 796.bf653d6-1
python2-appdirs 1.4.0-4
python2-backports 1.0-1
python2-backports.shutil_get_terminal_size 1.0.0-1
python2-beautifulsoup3 3.2.1-3
python2-beautifulsoup4 4.5.1-1
python2-bottle 0.12.9-1
python2-cairo 1.10.0-2
python2-cffi 1.8.3-1
python2-chardet 2.3.0-2
python2-cheetah 2.4.4-6
python2-cherrypy 8.1.0-1
python2-clint 0.5.1-3
python2-configobj 5.0.6-2
python2-configparser 3.5.0-1
python2-crypto 2.6.1-3
python2-cryptography 1.5.2-1
python2-cssselect 0.9.2-1
python2-cycler 0.10.0-1
python2-dateutil 2.5.3-1
python2-dbus 1.2.4-1
python2-decorator 4.0.10-1
python2-deepin-gsettings 0.1.20131016-1
python2-deepin-storm 0.3.20140625-1
python2-distutils-extra 2.39-1
python2-docutils 0.12-3
python2-enum34 1.1.6-1
python2-ethtool 0.11-2
python2-exiv2 0.3.2-11
python2-eyed3 0.7.9-1
python2-feedparser 5.2.1-1
python2-functools32 3.2.3_2-1
python2-gconf 2.28.1-9
python2-gflags 3.0.7-1
python2-gobject 3.20.1-1
python2-gobject2 2.28.6-12
python2-h5py 2.6.0-2
python2-httplib2 0.9.2-1
python2-idna 2.1-1
python2-ipaddr 2.1.11-1
python2-ipaddress 1.0.17-1
python2-ipykernel 4.3.1-1
python2-jellyfish 0.5.2-1
python2-jsonschema 2.5.1-3
python2-jswebkit 0.0.3-5
python2-keybinder2 0.3.1-1
python2-ldap 2.4.27-1
python2-leveldb 0.193-3
python2-lxml 3.6.4-1
python2-m2crypto 0.24.0-1
python2-magic 5.25-3
python2-markdown 2.6.6-1
python2-matplotlib 1.5.2-2
python2-mpd 0.3.0-5
python2-munkres 1.0.8-1
python2-musicbrainzngs 0.6-1
python2-mygpoclient 1.7-4
python2-ndg-httpsclient 0.4.2-1
python2-networkx 1.11-1
python2-nose 1.3.7-2
python2-notify 0.1.1-13
python2-numpy 1.11.1-1
python2-oauthlib 2.0.0-1
python2-opengl 3.1.0-2
python2-ordereddict 1.1-1
python2-packaging 16.7-1
python2-pandas 0.19.0-2
python2-paramiko 2.0.2-1
python2-path 8.2.1-1
python2-pathlib 1.0.1-3
python2-peewee 2.8.5-1
python2-pexpect 4.2.1-1
python2-pillow 3.4.1-1
python2-pip 8.1.2-1
python2-pivy 20101207-2
python2-ply 3.9-1
python2-prompt_toolkit 1.0.7-1
python2-psutil 4.3.1-1
python2-ptyprocess 0.5.1-1
python2-pyasn1 0.1.9-1
python2-pybluez 0.22-1
python2-pycparser 2.14-2
python2-pycurl 7.43.0-1
python2-pygments 2.1.3-1
python2-pyopenssl 16.1.0-1
python2-pyparsing 2.1.9-1
python2-pyparted 3.10.7-1
python2-pyqt5 5.7-2
python2-pyquery 1.2.13-1
python2-pyside 1.2.4-3
python2-pyside-tools 0.2.15-3
python2-pytz 2016.6.1-1
python2-pyzmq 15.2.0-1
python2-qrencode 1.01-9
python2-requests 2.11.1-1
python2-requests-oauthlib 0.7.0-1
python2-scikit-image 0.12.3-1
python2-scikit-learn 0.18-1
python2-scipy 0.18.1-1
python2-setuptools 1:28.1.0-1
python2-shiboken 1.2.4-2
python2-simplejson 3.8.2-1
python2-sip 4.18.1-1
python2-six 1.10.0-2
python2-tweepy 3.5.0-1
python2-twisted 16.4.1-1
python2-unidecode 0.04.19-2
python2-urllib3 1.18-1
python2-wcwidth 0.1.7-1
python2-wnck 2.32.0-15
python2-xcffib 0.4.2-1
python2-xdg 0.25-3
python2-xlib 0.17-1
python2-xpybutil 0.0.1.20151007-1
python2-yaml 3.12-1
python2-zope-interface 4.3.2-1
python3-kitchen 1.2.1-1
python3-memoizedb 2016.5-1
python3-xcgf 2016.4.5-1
python3-xcpf 2016.4.5.2-1
pywebkitgtk 1.1.8-3
qbittorrent-git 3.3.5.r615.gd3ece74-1
qca-qt4 2.1.1-6
qca-qt5 2.1.1-6
qemu 2.7.0-2
qimageblitz 0.0.6-5
qjson 0.8.1-5
qmltermwidget 0.1.0-2
qpdf 6.0.0-2
qrencode 3.4.4-1
qscintilla-qt4 2.9.3-1
qt4 4.8.7-10
qt5-base 5.7.0-3
qt5-declarative 5.7.0-3
qt5-graphicaleffects 5.7.0-1
qt5-imageformats 5.7.0-1
qt5-location 5.7.0-1
qt5-multimedia 5.7.0-1
qt5-quickcontrols 5.7.0-1
qt5-script 5.7.0-1
qt5-sensors 5.7.0-1
qt5-serialport 5.7.0-1
qt5-svg 5.7.0-1
qt5-tools 5.7.0-2
qt5-webchannel 5.7.0-1
qt5-webengine 5.7.0-3
qt5-webkit 5.7.0-1
qt5-websockets 5.7.0-1
qt5-x11extras 5.7.0-1
qt5-xmlpatterns 5.7.0-2
qtav 1.11.0-2
qtwebkit 2.3.4-4
qupzilla 2.0.1-2
qutebrowser-git r10226.49f8fa6-1
r 3.3.1-2
radeon-tray 1.1-3
randrproto 1.5.0-1
ranger 1.7.2-1
raptor 2.0.15-4
rarian 0.8.1-5
rasqal 1:0.9.33-1
re2 20160901-1
readline 6.3.008-4
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
redshift 1.11-3
redshiftgui-bin 0.2.4-1
refind-efi 0.9.2-1
reflector 2015.12-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-1
retro-gtk 0.8-1
rfkill 0.5-1
rofi 1.2.0-1
rpcbind 0.2.3-3
rstudio-desktop 0.99.491-1
rsync 3.1.2-1
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rtorrent 0.9.6-3
rtv 1.10.0-1
rubberband 1.8.1-3
ruby 2.3.1-1
ruby-bundler 1.13.2-1
ruby-erubis 2.7.0-1
ruby-maruku 0.7.2-3
ruby-sass 3.4.22-1
ruby-thor 0.19.1-1
ruby-yard 0.8.7.6-1
run-parts 4.7-1
rust 1:1.12.0-1
rxvt-unicode-256xresources 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.10-1
samba 4.5.0-2
sbc 1.3-1
schroedinger 1.0.11-3
sconsify 0.3.0_rc1-1
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sddm 0.14.0-2
sdl 1.2.15-7
sdl2 2.0.4-2
sdl2_image 2.0.1-1
sdl2_mixer 2.0.1-1
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-3
sdl_mixer 1.2.12-4
sdl_ttf 2.0.11-3
seabios 1.9.3-1
seahorse 3.20.0-2
sed 4.2.2-4
seexpr-git 3.0.beta.2.r8.g92f9f40-1
semver 5.3.0-1
serf 1.3.8-2
setconf 0.7.3-1
shadow 4.2.1-3
shared-color-targets 0.1.6-1
shared-mime-info 1.7-1
shiboken 1.2.4-2
siege 4.0.2-1
silver-searcher-git 0.33.0.2.ge13864f.r1767.e13864f-1
simplescreenrecorder-git 0.3.6.r33.g4cce5de-1
sip 4.18.1-1
skypeforlinux-bin 1.1.0.21-1
slang 2.3.0-1
slingshot-launcher-bzr r692-1
smartmontools 6.5-1
smbclient 4.5.0-2
smpeg 0.4.5-2
smpeg2 1:2.0.0-2
smplayer 16.9.0-1
snap-confine 1.0.41-1
snapd 2.15.2-1
snapper 0.3.3-2
snappy 1.1.3-2
snort 2.9.8.3-1
socat 1.7.3.1-2
solid 5.26.0-1
sonata 1.6.2.1-12
sonnet 5.26.0-1
soqt 1.5.0-9
sound-theme-freedesktop 0.8-2
soundnode 0.6.5-4
soundtouch 1.9.2-1
source-highlight 3.1.8-9
sox 14.4.2-1
spandsp 0.0.6-1
sparkleshare 1.5-2
speech-dispatcher 0.8.5-1
speedtest-cli 0.3.4-1
speex 1.2rc2-1
speexdsp 1.2rc3-2
spice 0.12.8-1
spice-glib 0.32-1
spice-gtk3 0.32-2
spice-html5 0.1.6-1
spop-git r328.1a26dec-1
spotify 1.0.36.120-1
sqlite 3.14.2-1
squashfs-tools 4.3-4
sshfs 2.8-1
startup-notification 0.12-4
steam 1.0.0.52-4
steam-native-runtime 1.0.0.52-7
steamcmd latest-2
stellarium 0.15.0-1
stow 2.2.2-2
strigi 0.7.8-9
sublime-text-dev 3.3114-1
subversion 1.9.4-1
sudo 1.8.18-1
super-ultra-flat-numix-remix-icons-git 4.5-4
sushi 3.20.0-1
switchboard 2.1.0-2
sxhkd 0.5.6-1
sysfsutils 2.1.0-9
syslinux 6.03-6
sysstat 11.4.0-1
systemd 231-3
systemd-sysvcompat 231-3
t1lib 5.1.2-5
taglib 1.11-1
tagspaces 2.5.0-1
talloc 2.1.8-1
tamsyn-font 1.11-1
tar 1.29-1
task 2.5.1-1
tcl 8.6.6-1
tcpdump 4.7.4-1
tdb 1.3.11-1
tdu 2008_05_07-2
telegram-purple 1.3.0-1
telegramqml 0.9.2-2
telepathy-farstream 0.6.2-2
telepathy-glib 0.24.1-1
telepathy-logger 0.8.2-2
telepathy-mission-control 5.16.4-1
terminator 0.98-2
termite 11-3
termite-terminfo 11-3
testdisk 7.0-3
tevent 1:0.9.29-2
texinfo 6.1-4
thin-provisioning-tools 0.6.3-1
threadweaver 5.26.0-1
thunar 1.6.10-3
thunar-volman 0.8.1-2
tint2 0.12.12-1
tinyxml 2.6.2-5
tk 8.6.6-1
tmux 2.2-1
tmuxinator 0.8.1-1
todotxt 2.10-3
tolua++ 1.0.93-2
totem 3.20.1-1
totem-plparser 3.10.6-1
tracker 1.8.0-3
transmission-cli 2.92-5
transmission-gtk 2.92-5
tre 0.8.0-4
truecrypt 1:7.1a-4
tslib 1.1-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.35-1
ttf-font-awesome 4.6.3-1
ttf-opensans 1.10-1
ttf-oxygen 1:5.4.3-1
tty-clock 0.1-1
tumbler 0.1.31-1
turses-git 778.f0952f9-1
twolame 0.3.13-7
tzdata 2016g-1
udisks2 2.1.7-1
uget 2.0.8-1
uglify-js 2.7.3-1
ultra-flat-icons 1.3.4-6
unclutter 8-10
unetbootin 625-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
uriparser 0.8.2-1
usbmuxd 1.1.0-2
usbredir 0.7-1
usbutils 008-1
