2bwm 0.2-2
downgrade 5.3.0-1
downgrader 2.0.0-3
doxygen 1.8.12-1
dpkg 1.18.10-3
drbl 2.20.11-1
dropbox 6.4.14-1
dropbox-cli 2015.10.28-1
dunst 1.1.0-1
dvgrab 3.5-6
dzen2 0.9.5git-6
e2fsprogs 1.43.3-1
ebook-tools 0.2.2-3
ebtables 2.0.10_4-6
eclipse-common 4.6.1-1
eclipse-java 4.6.1-1
ecryptfs-utils 108-2
efibootmgr 13-1
efivar 27-1
electron 1.4.2-1
elfutils 0.167-1
elinks 0.13-17
emojione-color-font 1.2-1
empathy 3.12.12-1
enca 1.19-1
enchant 1.6.0-8
encryptpad-git v0.3.2.2.r20.g7d94c7e-1
enet 1.3.13-1
eog 3.20.4-1
epiphany 3.20.3-2
epydoc 3.0.1-3
eselect-git 813.1e4ac8e-1
espeak 1.48.04-2
etcher 1.0.0_beta.13-1
ethtool 1:4.6-1
evince 3.20.1-2
evolution-data-server 3.20.5-1
evopop-icon-theme 0.8-3
exempi 2.3.0-1
exiv2 0.25-3
exo 0.10.7-2
expac 7-1
expat 2.2.0-2
expect 5.45-4
extra-cmake-modules 5.26.0-1
f2fs-tools 1.6.1-1
faac 1.28-5
faad2 2.7-4
faenza-icon-theme 1.3.1-4
fakeroot 1.21-2
farstream 0.2.8-1
fbida 2.12-1
fcgi 2.4.0-12
feh 2.17-1
fetchmirrors 0.3-2
ffmpeg 1:3.1.4-2
ffmpeg0.10 0.10.16-2
ffmpeg2.8 2.8.7-4
fftw 3.3.5-1
file 5.28-1
file-roller 3.20.3-1
filesystem 2015.09-1
filezilla 3.22.1-1
finch 2.11.0-1
findutils 4.6.0-2
fira-code-git r144.b72a57f-1
firefox 49.0.1-1
fish 2.3.1-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.635-1
flatabulous 15.04.1-3
flattr-icon-theme 1.3-2
flex 2.6.1-1
fluidsynth 1.1.6-4
folks 0.11.2-2
fontconfig-infinality-ultimate 2.11.95-4
fontforge 20161004-1
fontsproto 2.1.3-1
frameworkintegration 5.26.0-1
freecad 0.16-5
freeglut 3.0.0-1
freeimage 3.17.0-2
freetype2-infinality-ultimate 2.6.3-4
fribidi 0.19.7-1
fsv2 1:0.9.1-1
ftgl 2.1.3rc5-9
fuse 2.9.7-1
fzf 0.15.2-1
gala-bzr r539-1
gambas3-gb-form 3.9.1-1
gambas3-gb-gtk 3.9.1-1
gambas3-gb-image 3.9.1-1
gambas3-runtime 3.9.1-1
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.4-1
gc 7.6.0-1
gcc-fortran 6.2.1-1
gcc-libs-multilib 6.2.1-1
gcc-multilib 6.2.1-1
gcc5 5.4.0-1
gconf 3.2.6-5
gconf-editor 3.0.1-4
gconf-sharp 2.24.2-4
gcr 3.20.0-2
gd 2.2.3-3
gdb 7.11.1-2
gdb-common 7.11.1-2
gdbm 1.12-2
gdk-pixbuf2 2.34.0-2
gdrive-git 2.1.0.r3.g5f32135-1
gegl02 0.2.0-4
gendesk 0.6.4-1
genymotion 2.7.2-1
geoclue2 2.4.4-1
geocode-glib 3.20.1-2
geoip 1.6.6-2
geoip-database 20160907-1
gettext 0.19.8.1-2
gflags 2.1.2-2
ghetto-skype-git 1.4.0.r1.gab32b29-1
ghostscript 9.20-2
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.18-1
ginger-base 2.2.0-1
girara 0.2.6-1
git 2.10.0-1
gitkraken 1.5.3-1
gjs 1.45.4-1
gkeyfile-sharp 0.1-3
gksu 2.0.2-5
gl2ps 1.3.9-1
glances 2.7.1-1
glew 2.0.0-1
glew1.10 1.10.0-1
glfw-x11 3.2.1-1
glib-networking 2.48.2-1
glib2 2.48.2-1
glibc 2.24-2
glibmm 2.48.1-1
glu 9.0.0-4
gmime 2.6.20-2
gmp 6.1.1-1
gnome-backgrounds 3.20-1
gnome-bluetooth 3.20.0-1
gnome-boxes 3.20.2-2
gnome-calculator 3.20.2-1
gnome-color-manager 3.20.0-2
gnome-common 3.18.0-1
gnome-contacts 3.20.0-1
gnome-control-center 3.20.1-2
gnome-desktop 1:3.20.2-1
gnome-dictionary 3.20.0-2
gnome-disk-utility 3.20.2-1
gnome-doc-utils 0.20.10-2
gnome-font-viewer 3.20.2-1
gnome-games-stable 3.21.92-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.20.0-2
gnome-keyring-sharp 1.0.2-5
gnome-menus 3.13.3-2
gnome-multi-writer 3.20.0-2
gnome-online-accounts 3.20.4-1
gnome-packagekit 3.20.0-2
gnome-screenshot 3.20.1-1
gnome-session 3.20.2-1
gnome-session-properties 3.10.0-2
gnome-settings-daemon 3.20.1+8+g40bf4fd-1
gnome-shell 3.20.4-1
gnome-shell-extension-appindicator-git 17.r0.gb8e5545-1
gnome-shell-extension-hide-brightness-git 3-4
gnome-shell-extension-impatience-git r27.d639876-1
gnome-shell-extension-shellshape-git r316.3cc3681-1
gnome-shell-extensions 3.20.1-1
gnome-shell-mousewheel-zoom 0.8.0-1
gnome-system-log 3.9.90-2
gnome-system-monitor 3.20.1-2
gnome-terminal 3.20.2-2
gnome-themes-standard 3.20.2-1
gnome-tweak-tool 3.20.1-2
gnome-user-docs 3.20.2-1
gnome-user-share 3.18.2-1
gnome-video-effects 0.4.1-1
gnu-efi-libs 3.0.3-1
gnu-netcat 0.7.1-6
gnupg 2.1.15-1
gnutls 3.4.15-1
go 2:1.7.1-1
gobject-introspection 1.48.0-1
gobject-introspection-runtime 1.48.0-1
gom 0.3.2-1
goocanvas1 1.0.0-3
google-breakpad-git r1540.98b6a63-1
google-glog 0.3.4-2
gparted 0.26.1-1
gperf 3.0.4-7
gperftools 2.5-1
gpgme 1.6.0-3
gpgmepp 16.08.1-1
gplaycli-git 0.1.2.r31.gde4bcd9-1
gpm 1.20.7-7
gpodder3 3.9.0-1
gptfdisk 1.0.1-2
gptsync 0.14-7
granite-bzr r989-1
grantlee-qt4 0.5.1-3
graphene 1.4.0-1
graphite 1:1.3.8-1
grep 2.25-2
greyhole 0.9.67-1
grilo 0.3.2-1
grilo-plugins 0.3.3-1
grive-git 419.457d849-1
groff 1.22.3-7
grub 1:2.02.beta3-3
grub-customizer 5.0.6-1
gsettings-desktop-schemas 3.21.4-1
gsettings-qt 0.1.20151104-2
gsfonts 20160531-3
gsl 2.2.1-1
gsm 1.0.14-1
gsmartcontrol 0.8.7-7
gssdp 0.14.16-1
gssproxy 0.5.1-1
gst-plugins-bad 1.8.3-2
gst-plugins-base 1.8.3-1
gst-plugins-base-libs 1.8.3-1
gst-plugins-good 1.8.3-1
gst-python 1.8.3-1
gstreamer 1.8.3-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-18
gstreamer0.10-bad-plugins 0.10.23-18
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-good 0.10.31-11
gstreamer0.10-good-plugins 0.10.31-11
gstreamer0.10-python 0.10.22-2
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtest 1.8.0-1
gtk-arc-flatabulous-theme-git 594.4f8bf3a-1
gtk-doc 1.25-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-3
gtk-sharp-2 2.12.29-1
gtk-sharp-3 2.99.3-1
gtk-theme-arc-git 562.894573e-1
gtk-update-icon-cache 3.20.9-1
gtk-vnc 0.6.0-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.31-1
gtk3 3.20.9-1
gtkdialog-svn 514-7
gtkglarea 2.1.0-1
gtkglext 1.2.0-10
gtkmm 2.24.4-2
gtkmm3 3.20.1-1
gtksourceview3 3.20.4-1
gtkspell 2.0.16-3
guake 0.8.5-1
gucharmap 9.0.0-1
guile 2.0.12-1
gulp 3.9.1-2
gupnp 0.20.18-1
gupnp-av 0.12.8-1
gupnp-dlna 0.10.5-1
gvfs 1.28.3-1
gvfs-afc 1.28.3-1
gvfs-goa 1.28.3-1
gvfs-google 1.28.3-1
gvfs-gphoto2 1.28.3-1
gvfs-mtp 1.28.3-1
gvfs-nfs 1.28.3-1
gvfs-smb 1.28.3-1
gyp-git 2093.e7079f0-1
gzip 1.8-2
hangups-git 1:0.3.6.r20.ga8b2d3f-1
harfbuzz 1.3.1-1
harfbuzz-icu 1.3.1-1
haroopad 0.13.1-6
hashcat-git 3.00.1252.c837df0-1
haste-server-git r248.0209375-1
hdf5 1.10.0_patch1-1
hdparm 9.48-1
help2man 1.47.3-2
hexchat 2.12.1-3
hicolor-icon-theme 0.15-1
hivex 1.3.13-1
hsetroot 1.0.2-4
hspell 1.3-1
htop 2.0.2-1
http-parser 2.7.1-1
httping 2.5-1
hunspell 1.4.1-1
hunspell-en 2016.06.26-1
hwids 20160801-1
hwloc 1.11.4-1
hydrogen 0.9.6.1-4
hyperterm 0.6.0-1
hyphen 2.8.8-1
i3-gaps 4.12-1
i3ipc-glib-git r147.1461791907.2882a14-1
iana-etc 20160927-1
ice-ssb 5.1.8-1
icoutils 0.31.0-1
icu 57.1-1
icu55 55.1-1
iftop 1.0pre4-2
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.5.10-1
imgur-screenshot-git 1.7.4.r4.g89526dd-1
imlib2 1.4.9-1
inetutils 1.9.4-4
iniparser 4.0-2
inkscape 0.91-19
inputproto 2.3.2-1
intel-tbb 2017_20160916-1
intltool 0.51.0-1
inxi 2.3.1-1
iproute2 4.7.0-1
iptables 1.6.0-1
iputils 20160308.0db72a4-1
ipython2 5.0.0-2
ipython2-notebook 4.1.0-5
iso-codes 3.69-1
itstool 2.0.2-1
iw 4.7-1
jack 0.124.1-6
jade 1.2.1-12
jansson 2.8-1
jasper 1.900.1-15
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.13-1
jdk7-openjdk 7.u111_2.6.7-1
jdk8-openjdk 8.u102-1
jemalloc 4.2.1-1
jfsutils 1.1.15-4
jitsi 2.8.5426-3
john 1.8.0.jumbo1-2
jre7-openjdk 7.u111_2.6.7-1
jre7-openjdk-headless 7.u111_2.6.7-1
jre8-openjdk 8.u102-1
jre8-openjdk-headless 8.u102-1
js 24.2.0-3
js17 17.0.0-3
js185 1.0.0-3
jshon 20131105-1
json-c 0.12.1-1
json-glib 1.2.2-1
jsoncpp 1.7.6-1
kactivities 5.26.0-1
kactivities-stats 5.26.0-1
karchive 5.26.0-1
kauth 5.26.0-1
kbd 2.0.3-1
kbookmarks 5.26.0-1
kbproto 1.0.7-1
kcmutils 5.26.0-1
kcodecs 5.26.0-1
kcompletion 5.26.0-1
kconfig 5.26.0-1
kconfigwidgets 5.26.0-1
kcoreaddons 5.26.0-1
kcrash 5.26.0-1
kdbusaddons 5.26.0-1
kdebase-runtime 16.08.1-1
kdeclarative 5.26.0-1
kdeconnect 1.0.1-1
kded 5.26.0-1
kdelibs 4.14.24-2
kdelibs4support 5.26.0-1
kdenlive-git 16.11.70.r7766.4810c24-1
kdepimlibs4 4.14.10-9
kdesu 5.26.0-1
kdnssd 5.26.0-1
kdoctools 5.26.0-1
keepass 2.34-1
kemoticons 5.26.0-1
keyutils 1.5.9-1
kfilemetadata 5.26.0-1
kglobalaccel 5.26.0-1
kguiaddons 5.26.0-1
kholidays 16.08.1-1
khtml 5.26.0-1
ki18n 5.26.0-1
kiconthemes 5.26.0-1
kidletime 5.26.0-1
kimchi 2.2.0-2
kinit 5.26.0-1
kio 5.26.0-2
kio-extras 16.08.1-1
kitemmodels 5.26.0-1
kitemviews 5.26.0-1
kjobwidgets 5.26.0-1
kjs 5.26.0-1
kjsembed 5.26.0-1
kmod 23-1
knewstuff 5.26.0-1
knotifications 5.26.0-1
knotifyconfig 5.26.0-1
kodi 16.1-4
kpackage 5.26.0-1
kparts 5.26.0-1
kpeople 5.26.0-1
kpty 5.26.0-1
krb5 1.13.4-1
krita 3.0.1.1-1
krunner 5.26.0-1
kservice 5.26.0-1
ktexteditor 5.26.0-1
ktextwidgets 5.26.0-1
kunitconversion 5.26.0-1
kwallet 5.26.0-1
kwayland 5.26.0-1
kwidgetsaddons 5.26.0-1
kwindowsystem 5.26.0-1
kxmlgui 5.26.0-1
kxmlrpcclient 5.26.0-1
ladspa 1.13-6
lame 3.99.5-3
launchy 2.5-5
lbzip2 2.5-3
lcms 1.19-5
lcms2 2.8-1
ldb 1.1.27-1
ldns 1.6.17-4
legofy-git r184.0154ef5-1
lemonbar-git v1.2.r2.gd680ea4-1
lemonbuddy-git 1.4.4.r0.gd72ff73-1
less 481-2
lesstif 0.95.2-6
leveldb 1.18-2
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.2-1
lib32-alsa-plugins 1.1.1-1
lib32-atk 2.20.0-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.14.6-2
lib32-cracklib 2.9.6-1
lib32-curl 7.50.3-1
lib32-db 5.3.28-3
lib32-dbus-glib 0.106-1
lib32-e2fsprogs 1.43.3-1
lib32-elfutils 0.167-1
lib32-expat 2.2.0-1
lib32-flac 1.3.1-2
lib32-fontconfig 2.12.1-1
lib32-freetype2 2.7-2
lib32-gcc-libs 6.2.1-1
lib32-gconf 3.2.6-1
lib32-gdk-pixbuf2 2.34.0-1
lib32-gettext 0.19.8.1-1
lib32-giflib 5.1.4-1
lib32-glew 2.0.0-1
lib32-glew1.10 1.10.0-2
lib32-glib2 2.48.1-1
lib32-glibc 2.24-2
lib32-glu 9.0.0-3
lib32-gmp 6.1.1-1
lib32-gnutls 3.4.15-1
lib32-gtk2 2.24.30-1
lib32-harfbuzz 1.3.1-1
lib32-icu 57.1-1
lib32-imlib2 1.4.9-1
lib32-jack 0.124.1-1
lib32-jansson 2.8-1
lib32-js17 17.0.0-6
lib32-json-c 0.12.1-1
lib32-keyutils 1.5.9-1
lib32-kmod 23-1
lib32-krb5 1.13.4-1
lib32-lcms2 2.8-1
lib32-libaio 0.3.110-1
lib32-libappindicator-gtk2 12.10.0-9
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcaca 0.99.beta19-1
lib32-libcanberra 0.30-4
lib32-libcap 2.25-1
lib32-libcups 2.1.4-1
lib32-libcurl-compat 7.50.3-1
lib32-libcurl-gnutls 7.50.3-1
lib32-libdatrie 0.2.10-1
lib32-libdbus 1.10.10-3
lib32-libdbusmenu-glib 16.04.0-2
lib32-libdbusmenu-gtk2 16.04.0-2
lib32-libdrm 2.4.71-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgcrypt15 1.5.6-1
lib32-libgpg-error 1.24-1
lib32-libgudev 230-2
lib32-libice 1.0.9-1
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libindicator-gtk2 12.10.1-6
lib32-libjpeg-turbo 1.5.0-1
lib32-libjpeg6-turbo 1.5.1-1
lib32-libldap 2.4.44-1
lib32-libltdl 2.4.6-4
lib32-libmikmod 3.3.9-1
lib32-libmng 2.0.3-1
lib32-libmodplug 0.8.8.5-6
lib32-libnl 3.2.28-1
lib32-libnm-glib 1.4.0-1
lib32-libogg 1.3.2-1
lib32-libpcap 1.7.4-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.24-1
lib32-libpng12 1.2.56-4
lib32-libpulse 9.0-1
lib32-librtmp0 2.4-1
lib32-libsamplerate 0.1.8-2
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.27-1
lib32-libssh2 1.7.0-2
lib32-libtasn1 4.9-1
lib32-libthai 0.1.24-1
lib32-libtheora 1.1.1-10
lib32-libtiff 4.0.6-2
lib32-libtiff4 3.9.7-1
lib32-libtirpc 1.0.1-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libudev0-shim 1-3
lib32-libusb 1.0.20-1
lib32-libvorbis 1.3.5-1
lib32-libvpx1.3 1.3.0-1
lib32-libwebp 0.5.1-1
lib32-libwrap 7.6.24-1
lib32-libx11 1.6.4-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.7-1
lib32-libxinerama 1.1.3-1
lib32-libxml2 2.9.3-1
lib32-libxmu 1.1.2-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxslt 1.1.29-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxv 1.0.11-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.8.1-1
lib32-mesa 12.0.3-2
lib32-mesa-libgl 12.0.3-2
lib32-mpg123 1.23.6-1
lib32-ncurses 6.0-2
lib32-nettle 3.2-1
lib32-nspr 4.12-1
lib32-nss 3.24-1
lib32-nvidia-cg-toolkit 3.1-5
lib32-openal 1.17.2-1
lib32-opencl-catalyst 15.12-1
lib32-openssl 1:1.0.2.j-1
lib32-p11-kit 0.23.2-1
lib32-pam 1.3.0-1
lib32-pango 1.40.1-1
lib32-pcre 8.39-1
lib32-pixman 0.34.0-1
lib32-polkit 0.113-2
lib32-portaudio 19_20140130-1
lib32-qt4 4.8.7-4
lib32-readline 6.3.008-2
